play_pattern,total_shots,total_goals,goal_rate,mean_xg
Other,217,151,0.695852534562212,0.7013987267235023
From Counter,633,113,0.17851500789889416,0.17220553596050553
From Goal Kick,493,69,0.13995943204868155,0.11873001497667343
Regular Play,4357,549,0.1260041312829929,0.1123883647949736
From Kick Off,166,19,0.1144578313253012,0.09319994172289156
From Free Kick,2585,285,0.1102514506769826,0.09561914554077369
From Throw In,2287,221,0.09663314385658067,0.09909521147468299
From Corner,1949,181,0.09286813750641354,0.0930150540030785
From Keeper,179,15,0.08379888268156424,0.11916483482122905
