body_part,total_shots,total_goals,goal_rate,mean_xg
Other,30,8,0.26666666666666666,0.31200069966666666
Right Foot,6920,876,0.12658959537572254,0.11861398991615607
Left Foot,4113,520,0.1264283977631899,0.11575805244551422
Head,1803,199,0.11037160288408208,0.10817094049667221
