central_shot,total_shots,total_goals,goal_rate,mean_xg,mean_distance
Wide,8871,790,0.08905422162101229,0.0823877756865066,20.953398488975633
Central,3995,813,0.2035043804755945,0.19285405469804756,15.219676439035581
